id,date,Muscle Target,Quality,Location
1,5/1/2022,Abs,4,Chicago Loop LA Fitness
2,5/2/2022,Back/Bicep,5,Chicago Loop LA Fitness
3,5/3/2022,Shoulders,5,Chicago Loop LA Fitness
4,5/4/2022,Leg,5,Chicago Loop LA Fitness
5,5/5/2022,Chest/Triceps,4,Chicago Loop LA Fitness
6,5/6/2022,Back/Bicep,4,Chicago Loop LA Fitness
7,5/7/2022,Shoulders,3,Chicago Loop LA Fitness
8,5/8/2022,Abs,4,Chicago Loop LA Fitness
9,5/9/2022,Leg,4,Chicago Loop LA Fitness
10,5/10/2022,Chest/Triceps,4,Chicago Loop LA Fitness
11,5/11/2022,Abs,2,Chicago Loop LA Fitness
12,5/12/2022,Back/Bicep,5,Chicago Loop LA Fitness
13,5/13/2022,Shoulders,5,Chicago Loop LA Fitness
14,5/15/2022,Leg,3,Chicago Loop LA Fitness
15,5/16/2022,Chest/Triceps,4,Chicago Loop LA Fitness
16,5/17/2022,Back/Bicep,4,Chicago Loop LA Fitness
17,5/18/2022,Shoulders,4,Chicago Loop LA Fitness
18,5/19/2022,Leg,4,Chicago Loop LA Fitness
19,5/20/2022,Chest/Triceps,3,Chicago Loop LA Fitness
20,5/22/2022,Abs,2,Chicago South Loop LA Fitness
21,5/23/2022,Back/Bicep,3,Chicago Loop LA Fitness
22,5/24/2022,Shoulders,4,Chicago Loop LA Fitness
23,5/25/2022,Leg,5,Chicago Loop LA Fitness
24,5/26/2022,Chest/Triceps,5,Chicago Loop LA Fitness
25,5/27/2022,Back/Bicep,3,Chicago Loop LA Fitness
26,5/29/2022,Shoulders,5,Chicago Loop LA Fitness
27,5/30/2022,Abs,2,Chicago MPP Gym
28,5/31/2022,Leg,3,Chicago Loop LA Fitness
29,6/1/2022,Chest/Triceps,4,Chicago Loop LA Fitness
